hotel_id,room_id,name,amenities
B-81188,RB-17863,"Regency, Double",Turndown service|Iron/ironing board (on request)|Lowered locks/deadbolt|Wireless internet access|TV size measurement: inch|Private bathroom|Free toiletries|TV size: 32|Rainfall showerhead|Pillowtop mattress|In-room safe|Soundproofed rooms|LCD TV|Laptop-friendly workspace|Free bottled water|Refrigerator|Wardrobe or closet|Free wired internet|Coffee/tea maker|Number of days between towel changes: 2|Soap|Ceiling fan|Toothbrush and toothpaste available|Daily housekeeping|Doorbell/telephone notification|Toilet paper|Shower only|Shampoo|Visual doorbell/knocker notification|Down comforter|Wheelchair accessible|Air conditioning|Doorway wheelchair width (inches) - 36|Wheelchair-width doorways|Doorway wheelchair width (centimeters) - 91|Hand-held showerhead|Electric kettle|Satellite TV service|Blackout drapes/curtains|Desk|WiFi speed - 25+ Mbps|Premium TV channels|Cable/satellite TV service|Rollaway/extra beds (surcharge)|Pay movies|Free newspaper|Room service (limited hours)|Non-Smoking|Television|Height-adjustable showerhead|Turndown service|Iron/ironing board (on request)|Pillowtop mattress|Soundproofed rooms|Laptop-friendly workspace|Refrigerator|Wardrobe or closet|Free wired internet|Coffee/tea maker|Number of days between towel changes: 2|Ceiling fan|Daily housekeeping|Number of days between bed sheet changes: 2|Free WiFi|Individually furnished|Phone|High-speed internet access|Free local calls|Towels provided|Hair dryer (on request)|Bedsheets provided|Day bed|Lowered locks/deadbolt|Wireless internet access|TV size measurement: inch|Private bathroom|Free toiletries|TV size: 32|Rainfall showerhead|In-room safe|LCD TV|Free bottled water|Doorway wheelchair width (inches) - 36|Wheelchair-width doorways|Doorway wheelchair width (centimeters) - 91|Hand-held showerhead|Electric kettle|Satellite TV service|Blackout drapes/curtains|Desk|WiFi speed - 25+ Mbps|Premium TV channels|Soap|Toothbrush and toothpaste available|Doorbell/telephone notification|Toilet paper|Shower only|Shampoo|Visual doorbell/knocker notification|Down comforter|Wheelchair accessible|Air conditioning|Number of days between bed sheet changes: 2|Free WiFi|Individually furnished|Phone|High-speed internet access|Free local calls|Towels provided|Cable/satellite TV service|Hair dryer (on request)|Rollaway/extra beds (surcharge)|Bedsheets provided|Pay movies|Day bed|Free newspaper|Room service (limited hours)|Non-Smoking|Television|Height-adjustable showerhead
B-46489,RB-99615,Run of House,
B-35713,RB-27947,"Premium, 1 Bed, Lake View, Single Use",
B-01262,RB-72666,"Deluxe, Double",Phone|Desk|Restaurant dining guide|Towels provided|Hair dryer (on request)|Premium TV channels|Bedsheets provided|Soap|Toilet paper|Shower only|Bidet|Shampoo|Phone|Toothbrush and toothpaste available on request|Desk|TV size measurement: inch|Restaurant dining guide|Private bathroom|Towels provided|Free toiletries|Hair dryer (on request)|Rollaway/extra beds (free)|Premium TV channels|Bedsheets provided|Soap|Toilet paper|Fan|Television|Smoking and Non-Smoking|Turndown service|Iron/ironing board (on request)|Laptop-friendly workspace|Wardrobe or closet|Free wired internet|Daily housekeeping|Free WiFi|Rainfall showerhead|In-room safe|Flat-panel TV|Cable TV service|Shower only|Free newspaper|Shampoo|Room service (limited hours)|Toothbrush and toothpaste available on request|TV size measurement: inch|Private bathroom|Free toiletries|Rollaway/extra beds (free)|Rainfall showerhead|In-room safe|Flat-panel TV|Cable TV service|Free newspaper|Room service (limited hours)|Fan|Television|Smoking and Non-Smoking|Turndown service|Iron/ironing board (on request)|Laptop-friendly workspace|Wardrobe or closet|Free wired internet|Daily housekeeping|Free WiFi|Bidet
B-80883,RB-93904,Standard Room,Desk|Fan|Toiletries|Room service|Shower|TV|WiFi access|Hangers|Housekeeping|Mirror|Hangers|Trash can|Housekeeping|Toilet paper|Mirror|Towels|Trash can|Flat-screen TV|Toilet paper|Wardrobe/closet|Towels|Dental kit|Flat-screen TV|Wardrobe/closet|Dental kit|Attached washroom|Attached washroom|Blanket|Water bottle|Desk|Fan|Toiletries|Room service|Shower|TV|WiFi access|Blanket|Water bottle
B-11210,RB-96137,Run of House,
B-67890,RB-94584,Ambassador Suite,
B-40438,RB-45522,"Superior, Single",
B-61697,RB-48595,"Standard, King",
B-58352,RB-47829,Run of House,
B-51601,RB-80065,Run Of House,Minibar|Desk|Trash can|Wardrobe/closet|Dental kit|Fridge|Trash can|Wardrobe/closet|Dental kit|Fridge|Hairdryer|Private bathroom|Toiletries|Satellite channels|Air conditioning|Soundproof|Hairdryer|Private bathroom|Toiletries|Satellite channels|Air conditioning|Soundproof|Tea/coffee maker|Water bottle|Minibar|Desk|Tea/coffee maker|Water bottle
B-19271,RB-46032,Luxe,Low-height bed|Smoking and Non-Smoking|Digital TV service|Turndown service|Premium bedding|Electric kettle|Iron/ironing board (on request)|Laptop-friendly workspace|Free weekday newspaper|Grab bar - in shower|Grab bar - in shower|Blackout drapes/curtains|Blackout drapes/curtains|Minibar|Minibar|Wardrobe or closet|Wardrobe or closet|Ceiling fan|Ceiling fan|Daily housekeeping|Daily housekeeping|Free WiFi|Free WiFi|Bidet|Access via exterior corridors|Phone|Wheelchair-width doorways|Low-height bed|Smoking and Non-Smoking|Digital TV service|Turndown service|Premium bedding|Electric kettle|Iron/ironing board (on request)|Laptop-friendly workspace|Free weekday newspaper|Bidet|Access via exterior corridors|Phone|Desk|Desk|No rollaway/extra beds|No rollaway/extra beds|Towels provided|Towels provided|Hair dryer (on request)|Hair dryer (on request)|Bedsheets provided|Bedsheets provided|Soap|Soap|Lowered locks/deadbolt|Lowered locks/deadbolt|Toilet paper|Shower only|Shampoo|Toilet paper|Shower only|Shampoo|Egyptian-cotton sheets|Egyptian-cotton sheets|Toothbrush and toothpaste available on request|Toothbrush and toothpaste available on request|Low-height desk|Low-height desk|Private bathroom|Private bathroom|Free toiletries|Free toiletries|Wheelchair accessible|Wheelchair accessible|Air conditioning|Air conditioning|Free tea bags/instant coffee|Rainfall showerhead|In-room safe|Free tea bags/instant coffee|Rainfall showerhead|In-room safe|LCD TV|LCD TV|Free bottled water|Free bottled water|Room service (limited hours)|Room service (limited hours)|Wheelchair-width doorways
B-65336,RB-30411,"Luxury Suite, Balcony",Air conditioning|TV size: 42|Free WiFi|Rainfall showerhead|Desk|No rollaway/extra beds|Satellite TV service|Iron/ironing board (on request)|Soundproofed rooms|Laptop-friendly workspace|Wardrobe or closet|Free toiletries|Ceiling fan|Hair dryer|Daily housekeeping|Air conditioning|WiFi speed - 100+ Mbps (good for 1–2 people or up to 6 devices)|Towels provided|Bedsheets provided|Non-Smoking|Television|LED TV|Toothbrush and toothpaste available|Shower only|Wireless internet access|Electric kettle|TV size: 42|Free WiFi|Rainfall showerhead|Desk|No rollaway/extra beds|WiFi speed - 100+ Mbps (good for 1–2 people or up to 6 devices)|Towels provided|Bedsheets provided|Non-Smoking|Television|LED TV|Toothbrush and toothpaste available|Shower only|Wireless internet access|Electric kettle|Satellite TV service|Iron/ironing board (on request)|Soundproofed rooms|Laptop-friendly workspace|Wardrobe or closet|Free toiletries|Ceiling fan|Hair dryer|Daily housekeeping
B-39248,RB-72266,Run of House,
B-56505,RB-44730,Run of House,
B-21046,RB-59474,"Double, Double or Queen, Balcony, Club Lounge Access",
B-58322,RB-92665,Standard Room,Free toiletries|Ceiling fan|Daily housekeeping|TV size: 32|Rollaway/extra beds (surcharge)|Flat-panel TV|Cable TV service|No cribs (infant beds)|Room service (limited hours)|Towels provided|Non-Smoking|Television|Soap|Toilet paper|Shampoo|Iron/ironing board (on request)|TV size measurement: inch|In-room climate control (air conditioning)|Private bathroom|Wardrobe or closet
B-68887,RB-16313,"Standard, 1 Bed",
B-90399,RB-39712,Deluxe,Balcony|WiFi speed - 50+ Mbps|Towels provided|Bedsheets provided|Netflix|Shower only|Wireless internet access|Toothbrush and toothpaste not available|Streaming services|TV size measurement: inch|Daily housekeeping|Private bathroom|Number of days between bed sheet changes: 2|Wheelchair accessible|Free WiFi|TV size: 32|Phone|Rollaway/extra beds (surcharge)|Desk|Free bottled water|Balcony|WiFi speed - 50+ Mbps|Towels provided|Bedsheets provided|Netflix|Television|Smoking and Non-Smoking|Satellite TV service|Iron/ironing board (on request)|Laptop-friendly workspace|Smart TV|In-room climate control (air conditioning)|Wardrobe or closet|Number of days between towel changes: 2|Ceiling fan|Shower only|Wireless internet access|Toothbrush and toothpaste not available|Streaming services|TV size measurement: inch|Private bathroom|Wheelchair accessible|TV size: 32|Rollaway/extra beds (surcharge)|Free bottled water|Television|Smoking and Non-Smoking|Satellite TV service|Iron/ironing board (on request)|Laptop-friendly workspace|Smart TV|In-room climate control (air conditioning)|Wardrobe or closet|Number of days between towel changes: 2|Ceiling fan|Daily housekeeping|Number of days between bed sheet changes: 2|Free WiFi|Desk
B-20655,RB-60828,"Premium, Queen",
B-71615,RB-07767,"Presidential Suite, King",
B-62232,RB-08149,Deluxe Double Room,Mirror|Sanitizers|Trash can|Toilet paper|Desk|Wardrobe/closet|Trash can|Toilet paper|Desk|Wardrobe/closet|Air conditioning|Attached washroom|Blanket|Water bottle|Fan|TV|Air conditioning|Attached washroom|Blanket|Water bottle|Fan|TV|WiFi access|Charging points|Mirror|Sanitizers|WiFi access|Charging points
B-19926,RB-38264,Run of House,
B-60861,RB-28691,"Suite, 1 Double or 1 King",
